name,year,summary,analysis,url
Waterloo,18 ,"The Battle of Waterloo was fought on Sunday 18 June 1815, near Waterloo (then in the United Kingdom of the Netherlands, now in Belgium), marking the end of the Napoleonic Wars. The French Imperial Army under the command of Napoleon I was defeated by two armies of the Seventh Coalition. One was a British-led force with units from the United Kingdom, the Netherlands, Hanover, Brunswick, and Nassau, under the command of field marshal Arthur Wellesley, Duke of Wellington. The other comprised three c"," - Commander: Arthur Wellesley, Duke of Wellington
- Terrain: Farmland and forest
- Tactics: Delay, Encirclement, Assault
- Outcome: Seventh Coalition (British-led) won
- Lesson: Strategy and timely intervention can lead to victory

",https://en.wikipedia.org/wiki/Battle_of_Waterloo
Gettysburg,1 ,"The Battle of Gettysburg (locally  ) was a three-day battle in the American Civil War, which was fought between the Union and Confederate armies between July 1 and July 3, 1863, in and around Gettysburg, Pennsylvania. The battle, won by the Union, is widely considered the Civil War's turning point, leading to an ultimate victory of the Union and the preservation of the nation. The Battle of Gettysburg was the bloodiest battle of both the Civil War and of any battle in American military history, "," - Commander: Major General George Meade (Union)
- Terrain: Farmland and town
- Tactics: Defensive maneuvers, strategic positioning
- Outcome: Union victory
- Lesson: Importance of defensive tactics in warfare

",https://en.wikipedia.org/wiki/Battle_of_Gettysburg
Marathon,490 BC,"The Battle of Marathon took place in 490 BC during the first Persian invasion of Greece. It was fought between the citizens of Athens, aided by Plataea, and a Persian force commanded by Datis and Artaphernes. The battle was the culmination of the first attempt by Persia under King Darius I to subjugate Greece. The Greek army inflicted a crushing defeat on the more numerous Persians, marking a turning point in the Greco-Persian Wars.
The first Persian invasion was a response to Athenian involveme"," - Commander: Miltiades
- Terrain: Plains
- Tactics: Surprise Attack, Phalanx Formation
- Outcome: Greeks won
- Lesson: Smaller forces can defeat larger ones with clever strategy

",https://en.wikipedia.org/wiki/Battle_of_Marathon
Hastings,14 ,"The Battle of Hastings was fought on 14 October 1066 between the Norman-French army of William, Duke of Normandy, and an English army under the Anglo-Saxon King Harold Godwinson, beginning the Norman Conquest of England. It took place approximately 7 mi (11 km) northwest of Hastings, close to the present-day town of Battle, East Sussex, and was a decisive Norman victory.
The background to the battle was the death of the childless King Edward the Confessor in January 1066, which set up a successi"," - Commander: William, Duke of Normandy
- Terrain: Open countryside
- Tactics: Arrow storm then cavalry charge
- Outcome: Norman victory
- Lesson: Battles can alter the course of history

",https://en.wikipedia.org/wiki/Battle_of_Hastings
Midway,4,"The Battle of Midway was a major naval battle in the Pacific Theater of World War II that took place on 4–7 June 1942, six months after Japan's attack on Pearl Harbor and one month after the Battle of the Coral Sea. The Japanese Combined Fleet under the command of Isoroku Yamamoto suffered a decisive defeat by the U.S. Pacific Fleet near Midway Atoll, about 1,300 mi (1,100 nmi; 2,100 km) northwest of Oahu. Yamamoto had intended to capture Midway and lure out and destroy the U.S. Pacific Fleet, e"," - Commander: Chester W. Nimitz (US Navy)
- Terrain: Naval engagement in the Pacific Ocean
- Tactics: Deception, Codebreaking, Aerial combat
- Outcome: United States won a decisive victory
- Lesson: Intelligence plays a crucial role in battle strategy

",https://en.wikipedia.org/wiki/Battle_of_Midway
Tours,10 ,"The Battle of Tours, also called the Battle of Poitiers and the Battle of the Highway of the Martyrs (Arabic: معركة بلاط الشهداء, romanized: Maʿrakat Balāṭ ash-Shuhadā'), was fought on 10 October 732, and was an important battle during the Umayyad invasion of Gaul. It resulted in victory for the Frankish and Aquitanian forces, led by Charles Martel, over the invading Umayyad forces, led by Abd al-Rahman al-Ghafiqi, governor of al-Andalus. Several historians, such as Edward Gibbon, have credited "," - Commander: Charles Martel
- Terrain: Open countryside
- Tactics: Cavalry ambush, infantry defense
- Outcome: Frankish and Aquitanian forces won
- Lesson: Strong defense against expansionist Islam

",https://en.wikipedia.org/wiki/Battle_of_Tours
Agincourt,25 ,"The Battle of Agincourt ( AJ-in-kor(t); French: Azincourt [azɛ̃kuʁ]) was an English victory in the Hundred Years' War. It took place on 25 October 1415 (Saint Crispin's Day) near Azincourt, in northern France. The unexpected victory of the vastly outnumbered English troops against the numerically superior French army boosted English morale and prestige, crippled France, and started a new period of English dominance in the war that would last for 14 years until England was defeated by France in 1"," - Commander: Henry V of England
- Terrain: Muddy Field
- Tactics: Archery, Formation, Ambush
- Outcome: English Victory
- Lesson: Superior Tactics Overwhelm Numbers

",https://en.wikipedia.org/wiki/Battle_of_Agincourt
Leipzig,16 ,"The Battle of Leipzig, also known as the Battle of the Nations, was fought from 16 to 19 October 1813 at Leipzig, Saxony. The Coalition armies of Austria, Prussia, Sweden, and Russia, led by Tsar Alexander I, Karl von Schwarzenberg, and Gebhard von Blücher, decisively defeated the Grande Armée of French Emperor Napoleon Bonaparte. Napoleon's army also contained Polish and Italian troops, as well as Germans from the Confederation of the Rhine (mainly Saxony and Württemberg). The battle was the cu"," - Commander: Tsar Alexander I, Karl von Schwarzenberg, Gebhard von Blücher
- Terrain: Urban and open fields around Leipzig, Saxony
- Tactics: Encirclement and Coordinated Assault
- Outcome: Coalition Forces won
- Lesson: Power of Allied Unity against Overextension

",https://en.wikipedia.org/wiki/Battle_of_Leipzig
Vienna,12 ,"The Siege and Battle of Vienna took place at Kahlenberg Mountain near Vienna on 12 September 1683 after the city had been besieged by the Ottoman Empire for two months. The battle was fought by the Holy Roman Empire (led by the Habsburg monarchy) and the Polish–Lithuanian Commonwealth, both under the command of King John III Sobieski, against the Ottomans and their vassal and tributary states. The battle marked the first time the Commonwealth and the Holy Roman Empire had cooperated militarily a"," - Commander: John III Sobieski (Polish-Lithuanian Commonwealth)
- Terrain: Kahlenberg Mountain near Vienna
- Tactics: Strategic Counterattack
- Outcome: Holy Roman Empire and Polish-Lithuanian Commonwealth won
- Lesson: Cooperation can lead to successful defense against adversaries

",https://en.wikipedia.org/wiki/Battle_of_Vienna
Borodino,7 ,"The Battle of Borodino or the Battle of Moscow took place on the outskirts of Moscow near the village of Borodino on 7 September 1812 during Napoleon's invasion of Russia. The Grande Armée fought against the Imperial Russian Army. 
After the Russian retreat in the Battle of Smolensk, the road to Moscow lay open. Napoleon fought against General Mikhail Kutuzov, whom the Emperor Alexander I had appointed to replace Barclay de Tolly on 29 August 1812 after Smolensk was razed and captured by the Fre"," - Commander: Mikhail Kutuzov (Russian side)
- Terrain: Open farmlands and forests near Borodino village
- Tactics: Defensive deployment, retreat strategy
- Outcome: Draw/stalemate (neither side gained significant territory)
- Lesson: Prolonged defensive warfare can hinder an invading army's supply lines and force retreat

",https://en.wikipedia.org/wiki/Battle_of_Borodino
Salamis,480 BC,"The Battle of Salamis ( SAL-ə-miss) was a naval battle fought in 480 BC, between an alliance of Greek city-states under Themistocles, and the Achaemenid Empire under King Xerxes. It resulted in a victory for the outnumbered Greeks. 
The battle was fought in the straits between the mainland and Salamis, an island in the Saronic Gulf near Athens, and marked the high point of the second Persian invasion of Greece. It was arguably the largest naval battle of the ancient world, and marked a turning p"," - Commander: Themistocles (Greece)
- Terrain: Narrow straits between mainland and Salamis island, Saronic Gulf near Athens
- Tactics: Ambush, Positioning, Maneuverability
- Outcome: Greeks won against larger Persian forces
- Lesson: Superior strategy can outmatch numerical superiority

",https://en.wikipedia.org/wiki/Battle_of_Salamis
Trafalgar,21 ,"The Battle of Trafalgar was a naval engagement that took place on 21 October 1805 between the Royal Navy and a combined fleet of the French and Spanish navies during the War of the Third Coalition. As part of Napoleon's planned invasion of the United Kingdom, the French and Spanish fleets combined to take control of the English Channel and provide the Grande Armée safe passage. The allied fleet, under the command of French admiral Pierre-Charles Villeneuve, sailed from the port of Cádiz in the s"," - Commander: Admiral Lord Nelson (Royal Navy)
- Terrain: Open Sea
- Tactics: Divide and Destroy
- Outcome: Royal Navy won
- Lesson: Strategy can outmaneuver superior numbers

",https://en.wikipedia.org/wiki/Battle_of_Trafalgar
Jutland,31 ,"The Battle of Jutland (German: Skagerrakschlacht, lit. 'Battle of the Skagerrak') was a naval battle between Britain's Royal Navy Grand Fleet, under Admiral Sir John Jellicoe, and the Imperial German Navy's High Seas Fleet, under Vice-Admiral Reinhard Scheer, during the First World War. The battle unfolded in extensive manoeuvring and three main engagements from 31 May to 1 June 1916, off the North Sea coast of Denmark's Jutland Peninsula. It was the largest naval battle and only full-scale clas"," - Commander: Admiral Sir John Jellicoe (British)
- Terrain: North Sea Coast (Denmark's Jutland Peninsula)
- Tactics: Manoeuvring, Engagement, Retreat
- Outcome: Inconclusive Draw (no decisive victory for either side)
- Lesson: Superior numbers do not guarantee victory in battle

",https://en.wikipedia.org/wiki/Battle_of_Jutland
Verdun,21 ,"The Battle of Verdun (French: Bataille de Verdun [bataj də vɛʁdœ̃]; German: Schlacht um Verdun [ʃlaxt ʔʊm ˈvɛɐ̯dœ̃]) was fought from 21 February to 18 December 1916 on the Western Front in France. The battle was the longest of the First World War and took place on the hills north of Verdun. The German 5th Army attacked the defences of the Fortified Region of Verdun (RFV, Région Fortifiée de Verdun) and those of the French Second Army on the right (east) bank of the Meuse. Using the experience of"," - Commander: Erich Falkenhayn, German General
- Terrain: Hilly North of Verdun
- Tactics: attrition warfare
- Outcome: Neither side won conclusively
- Lesson: Trench warfare prolongs conflict

",https://en.wikipedia.org/wiki/Battle_of_Verdun
the Somme,1 ,"The Battle of the Somme (French: Bataille de la Somme; German: Schlacht an der Somme), also known as the Somme offensive, was a battle of the First World War fought by the armies of the British Empire and the French Republic against the German Empire. It took place between 1 July and 18 November 1916 on both sides of the upper reaches of the river Somme in France. The battle was intended to hasten a victory for the Allies. More than three million men fought in the battle, of whom more than one m"," - Commander: Douglas Haig (British) and Robert Nivelle (French)
- Terrain: Rolling countryside, river Somme
- Tactics: Large-scale artillery barrage, infantry advance
- Outcome: Stalemate; minimal territorial gain for the Allies
- Lesson: High casualty battles do not necessarily lead to victory

",https://en.wikipedia.org/wiki/Battle_of_the_Somme
Britain,18 ,"The Battle of Britain (German: Luftschlacht um England, lit. 'air battle for England') was a military campaign of the Second World War, in which the Royal Air Force (RAF) and the Fleet Air Arm (FAA) of the Royal Navy defended the United Kingdom against large-scale attacks by Nazi Germany's air force, the Luftwaffe. It was the first major military campaign fought entirely by air forces. It takes its name from the speech given by Prime Minister Winston Churchill to the House of Commons on 18 June,"," - Commander: Hermann Göring (commander of the Luftwaffe)
- Terrain: British skies
- Tactics: Strategic bombing and air superiority
- Outcome: RAF and FAA victory, Luftwaffe failed to gain air superiority or achieve invasion objectives
- Lesson: Aerial warfare can significantly impact ground operations and strategy

",https://en.wikipedia.org/wiki/Battle_of_Britain
the Bulge,16 ,"The Battle of the Bulge, also known as the Ardennes Offensive or Unternehmen Wacht am Rhein, was the last major German offensive campaign on the Western Front during the Second World War, taking place from 16 December 1944 to 25 January 1945. It was launched through the densely forested Ardennes region of eastern Belgium and northern Luxembourg. The offensive was intended to stop Allied use of the Belgian port of Antwerp and to split the Allied lines, allowing the Germans to encircle and destroy"," - Commander: Generalfeldmarschall Walter Model
- Terrain: Forested Ardennes region
- Tactics: Surprise, Heavy Armor, Night Attacks
- Outcome: Allies won but at great cost
- Lesson: Defensive superiority crucial in winter warfare

",https://en.wikipedia.org/wiki/Battle_of_the_Bulge
Iwo Jima,19 ,"The Battle of Iwo Jima (硫黄島の戦い, Iōtō no Tatakai, Iōjima no Tatakai; 19 February – 26 March 1945) was a major battle in which the United States Marine Corps (USMC) and United States Navy (USN) landed on and eventually captured the island of Iwo Jima from the Imperial Japanese Army (IJA) during World War II. The American invasion, designated Operation Detachment, had the goal of capturing the island with its two airfields: South Field and Central Field.
The Japanese Army positions on the island we"," - Commander: Lt. Gen. Tadamichi Kuribayashi (Japan) and Lt. Gen. Harry Schmidt (US)
- Terrain: Volcanic island with heavy coastal fortifications
- Tactics: Guerrilla warfare, suicide attacks
- Outcome: US forces captured the island after 36 days of intense fighting
- Lesson: Tenacious defense can prolong a losing battle

",https://en.wikipedia.org/wiki/Battle_of_Iwo_Jima
Kursk,1943,"The Battle of Kursk, also called the Battle of the Kursk Salient, was a major World War II Eastern Front battle between the forces of Nazi Germany and the Soviet Union near Kursk in southwestern Russia during the summer of 1943, resulting in a Soviet victory. The Battle of Kursk is the single largest battle in the history of warfare. It ranks only behind the Battle of Stalingrad several months earlier as the most often-cited turning point in the European theatre of the war. It was one of the cos"," - Commander: Georgy Zhukov (Soviet Union)
- Terrain: Hilly and Forested
- Tactics: Defensive Counterattack
- Outcome: Soviet Union won
- Lesson: Successful defense can turn the tide of war

",https://en.wikipedia.org/wiki/Battle_of_Kursk
El Alamein,1942,"There were two Battles of El Alamein in World War II, both fought in 1942. The battles occurred during the North African campaign in Egypt, in and around an area named after a railway stop called El Alamein.

First Battle of El Alamein: 1–27 July 1942. the advance of Axis troops on Alexandria was blunted by the Allies, stopping the Italian and German forces that were trying to outflank the Allies' position
Second Battle of El Alamein: 23 October – 4 November 1942. This was an Allied Victory that"," Commander: General Bernard Montgomery (Allies)
Terrain: Desert Plains
Tactics: Defensive Strategy, Tank Warfare, Coordinated Offense
Outcome: Allied Victory
Lesson: Proper Preparation and Execution Lead to Success

",https://en.wikipedia.org/wiki/Battle_of_El_Alamein
Yorktown,Unknown,"The siege of Yorktown, also known as the Battle of Yorktown and the surrender at Yorktown, was the final major land engagement of the American Revolutionary War. It was won decisively by the Continental Army, led by George Washington, with support from the Marquis de Lafayette and French Army troops, led by the Comte de Rochambeau, and a French Navy force commanded by the Comte de Grasse, defeating the British Army commanded by British Lieutenant General Charles Cornwallis. 
The French and Ameri"," - Commander: George Washington, Marquis de Lafayette, Comte de Rochambeau, Comte de Grasse
- Terrain: Land, coastal
- Tactics: Strategy, alliance, siege
- Outcome: Americans and French won
- Lesson: Alliances can lead to decisive victory in war

",https://en.wikipedia.org/wiki/Siege_of_Yorktown
Actium,2 ,"The Battle of Actium was a naval battle fought between Octavian's maritime fleet, led by Marcus Agrippa, and the combined fleets of both Mark Antony and Cleopatra. The battle took place on 2 September 31 BC in the Ionian Sea, near the former Roman colony of Actium, Greece, and was the climax of over a decade of rivalry between Octavian and Mark Antony.
In early 31 BC, the year of the battle, Antony and Cleopatra were temporarily stationed in Greece. Mark Antony possessed 500 ships and 70,000 inf"," - Commander: Marcus Agrippa (for Octavian)
- Terrain: Ionian Sea, Greece (Naval battle)
- Tactics: Divide and Conquer
- Outcome: Octavian's victory
- Lesson: Combined forces don't always guarantee success

",https://en.wikipedia.org/wiki/Battle_of_Actium
Chalons,20,"The Battle of the Catalaunian Plains (or Fields), also called the Battle of the Campus Mauriacus, Battle of Châlons, Battle of Troyes or the Battle of Maurica, took place on June 20, 451 AD, between a coalition, led by the Roman general Flavius Aetius and the Visigothic king Theodoric I, against the Huns and their vassals, commanded by their king, Attila. It proved to be one of the last major military operations of the Western Roman Empire, although Germanic foederati composed the majority of th"," - Commander: Flavius Aetius, Theodoric I (Visigothic King)
- Terrain: Catalaunian Plains
- Tactics: Combined Forces, Strategic Retreat
- Outcome: Defeat for Attila and the Huns
- Lesson: Coalition can halt barbarian advance

",https://en.wikipedia.org/wiki/Battle_of_the_Catalaunian_Plains
Kadesh,1274 BC,"The Battle of Kadesh took place in the 13th century BC between the Egyptian Empire led by pharaoh Ramesses II and the Hittite Empire led by king Muwatalli II. Their armies engaged each other at the Orontes River, just upstream of Lake Homs and near the archaeological site of Kadesh, along what is today the Lebanon–Syria border.
The battle is generally dated to May 1274 BC, as accounted by Egyptian chronology, and is the earliest pitched battle in recorded history for which details of tactics and"," - Commander: Ramesses II (Egyptian Empire)
- Terrain: Orontes River near Kadesh, Lebanon–Syria border
- Tactics: Chariot assault, Infantry skirmishes, Naval support
- Outcome: Battle resulted in a stalemate
- Lesson: Superior numbers don't guarantee victory; strategy and adaptability are key

",https://en.wikipedia.org/wiki/Battle_of_Kadesh
Sekigahara,21,"The Battle of Sekigahara (Shinjitai: 関ヶ原の戦い; Kyūjitai: 關ヶ原の戰い, Hepburn romanization: Sekigahara no Tatakai) was an important battle in Japan which occurred on October 21, 1600 (Keichō 5, 15th day of the 9th month) in what is now Gifu Prefecture, Japan, at the end of the Sengoku period.
This battle was fought by the forces of Tokugawa Ieyasu against a coalition loyal to the Toyotomi clan, led by Ishida Mitsunari on behalf of the young child Toyotomi Hideyori, from which several commanders defecte"," - Commander: Tokugawa Ieyasu
- Terrain: Plains of Sekigahara
- Tactics: Maneuver, Surround, Overwhelm
- Outcome: Tokugawa Ieyasu won
- Lesson: Unity & Loyalty crucial for victory

",https://en.wikipedia.org/wiki/Battle_of_Sekigahara
Red Cliffs,208,"The Battle of Red Cliffs, also known as the Battle of Chibi, was a decisive naval battle in China that took place during the winter of AD 208–209. It was fought on the Yangtze River between the forces of warlords controlling different parts of the country during the end of the Han dynasty. The allied forces of Sun Quan, Liu Bei, and Liu Qi based south of the Yangtze defeated the numerically superior forces of the northern warlord Cao Cao. By doing so,  Liu Bei and Sun Quan prevented Cao Cao from"," - Commander: Sun Quan, Liu Bei, and Liu Qi
- Terrain: Yangtze River (naval battle)
- Tactics: Coordinated attack, deception, river control
- Outcome: Allied forces of south won over Cao Cao
- Lesson: Unity can overcome numerical superiority

",https://en.wikipedia.org/wiki/Battle_of_Red_Cliffs
Plassey,23 ,"The Battle of Plassey was a decisive victory of the British East India Company, under the leadership of Robert Clive, over the Nawab of Bengal and his French allies on 23 June 1757. The victory was made possible by the defection of Mir Jafar, Nawab Siraj-ud-Daulah's commander in chief, as well as much of the Bengal Subah's armies being earlier committed against an Afghan invasion led by Ahmad Shah Durrani against the Mughal Empire. The battle helped the British East India Company take control of"," - Commander: Robert Clive
- Terrain: Plains
- Tactics: Defection, Alliances
- Outcome: British East India Company
- Lesson: Betrayal can lead to victory

",https://en.wikipedia.org/wiki/Battle_of_Plassey
Blenheim,13 ,"The Battle of Blenheim (German: Zweite Schlacht bei Höchstädt; French: Bataille de Höchstädt; Dutch: Slag bij Blenheim) fought on 13 August [O.S. 2 August] 1704, was a major battle of the War of the Spanish Succession. The overwhelming Allied victory ensured the safety of Vienna from the Franco-Bavarian army, thus preventing the collapse of the reconstituted Grand Alliance.
Louis XIV of France sought to knock the Holy Roman Emperor, Leopold out of the war by seizing Vienna, the Habsburg capital,"," Commander: John Churchill, Duke of Marlborough
Terrain: Open plain
Tactics: Envelopment and outflanking
Outcome: Allied victory
Lesson: Victory from strategic maneuver, not direct attack

",https://en.wikipedia.org/wiki/Battle_of_Blenheim
Saratoga,19 ,"The Battles of Saratoga (September 19 and October 7, 1777) were two battles between the American Continental Army and the British Army fought near Saratoga, New York, concluding the Saratoga campaign in the American Revolutionary War. The second battle ended with a decisive American victory, greatly affecting the course of the conflict and persuading France to enter the war as an American ally. In both battles, General John Burgoyne commanded the British forces, while General Horatio Gates led t"," - Commander: Horatio Gates
- Terrain: Forested Plains
- Tactics: Encirclement Strategy
- Outcome: American Victory
- Lesson: Key turning point in the war for America

",https://en.wikipedia.org/wiki/Battles_of_Saratoga
Omdurman,2 ,"The Battle of Omdurman,  also known as the Battle of Karary, was fought during the Anglo-Egyptian conquest of Sudan between a British–Egyptian expeditionary force commanded by British Commander-in-Chief (sirdar) major general Horatio Herbert Kitchener and a Sudanese army of the Mahdist State, led by Abdallahi ibn Muhammad (the Khalifa), the successor to the self-proclaimed Mahdi, Muhammad Ahmad. The battle took place on 2 September 1898, at Kerreri, 11 kilometres (6.8 mi) north of Omdurman.
Foll"," - Commander: Horatio Herbert Kitchener
- Terrain: Open Savannah
- Tactics: Artillery, Cavalry Charge, Strategic Positioning
- Outcome: British-Egyptian force won
- Lesson: Superior firepower decisive in defeating massed infantry

",https://en.wikipedia.org/wiki/Battle_of_Omdurman
Tannenberg,23 ,"The Battle of Tannenberg, also known as the Second Battle of Tannenberg, was fought between Russia and Germany between 23 and 30 August 1914, the first month of World War I. The battle resulted in the encirclement and the almost complete destruction of the Russian 2nd Army by the German 8th Army and the suicide of its commanding general, Alexander Samsonov. A series of follow-up battles (First Masurian Lakes) led to the ousting of the Russian 1st Army from East Prussia.
The outcome brought consi"," - Commander: Paul von Hindenburg and Erich Ludendorff, Germany
- Terrain: Forested Plains of East Prussia
- Tactics: Strategic Encirclement
- Outcome: Germany won
- Lesson: Underestimating enemy can lead to disaster

",https://en.wikipedia.org/wiki/Battle_of_Tannenberg
Poltava,8 ,"The Battle of Poltava took place 8 July 1709, was the decisive and largest battle of the Great Northern War. The Russian army under the command of Tsar Peter I defeated the Swedish army commanded by Carl Gustaf Rehnskiöld. The battle would lead to the Swedish Empire losing its status as a European great power and also marked the beginning of Russian supremacy in eastern Europe. 
During the course of six years in the initial stages of the war, King Charles XII and the Swedish Empire had defeated "," Commander: Tsar Peter I
Terrain: Open Fields
Tactics: Outmaneuver, Overpower, Coordination
Outcome: Russian army defeated Swedish army
Lesson: Superior strategy and coordination win battles

",https://en.wikipedia.org/wiki/Battle_of_Poltava
